time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 574, 2.939024, 0, 11, 1, 3, 4
1, 599, 2.791319, 0, 9, 1, 3, 4
2, 594, 2.850168, 0, 11, 1, 3, 4
3, 512, 3.400391, 0, 13, 2, 3, 5
4, 519, 3.323699, 0, 13, 1, 3, 5
5, 591, 2.830795, 0, 14, 1, 3, 4
6, 503, 3.435388, 0, 11, 2, 3, 5
7, 614, 2.714984, 0, 12, 1, 3, 4
8, 580, 2.906897, 0, 15, 1, 3, 4
9, 577, 2.953206, 0, 10, 1, 3, 4
10, 552, 3.048913, 0, 16, 1, 3, 4
11, 588, 2.853741, 0, 12, 1, 3, 4
12, 589, 2.804754, 0, 19, 1, 3, 4
13, 592, 2.836149, 0, 11, 1, 3, 4
14, 529, 3.251418, 0, 14, 1, 3, 5
15, 600, 2.778333, 0, 9, 1, 3, 4
16, 605, 2.733884, 0, 12, 1, 3, 4
17, 586, 2.824232, 0, 13, 1, 3, 4
18, 628, 2.630573, 0, 11, 1, 3, 4
19, 548, 3.104015, 0, 13, 1, 3, 5
20, 559, 3.028623, 0, 14, 1, 3, 4
21, 633, 2.598736, 0, 10, 1, 2, 4
22, 564, 3.012411, 0, 13, 1, 3, 4
23, 580, 2.891379, 0, 12, 1, 3, 4
24, 540, 3.192593, 0, 11, 1, 3, 5
25, 541, 3.144177, 0, 12, 1, 3, 4
26, 589, 2.855688, 0, 10, 1, 3, 4
27, 611, 2.708674, 0, 12, 1, 3, 4
28, 593, 2.833052, 0, 11, 1, 3, 4
29, 588, 2.843537, 0, 11, 1, 3, 4
30, 563, 3.019538, 0, 11, 1, 3, 4
31, 564, 3.008865, 0, 15, 2, 3, 4
32, 613, 2.696574, 0, 10, 1, 3, 4
33, 538, 3.174721, 0, 19, 1, 3, 5
34, 504, 3.454365, 0, 15, 1, 3, 5
35, 593, 2.819562, 0, 13, 1, 3, 4
36, 496, 3.528226, 0, 12, 2, 3, 5
37, 651, 2.519201, 0, 14, 1, 2, 4
38, 582, 2.893471, 0, 14, 1, 3, 4
39, 606, 2.742574, 0, 11, 1, 2, 4
40, 530, 3.226415, 0, 20, 1, 3, 5
41, 587, 2.879046, 0, 15, 1, 3, 4
42, 511, 3.389432, 0, 17, 2, 3, 5
43, 516, 3.337209, 0, 13, 2, 3, 5
44, 542, 3.158672, 0, 18, 2, 3, 4
45, 604, 2.754967, 0, 12, 1, 3, 4
46, 561, 3.019608, 0, 11, 2, 3, 4
47, 532, 3.229323, 0, 12, 2, 3, 4
48, 641, 2.552262, 0, 14, 1, 3, 4
49, 584, 2.910959, 0, 10, 1, 3, 4
50, 560, 3.032143, 0, 16, 2, 3, 4
51, 549, 3.076503, 0, 26, 1, 3, 4
52, 485, 3.616495, 0, 19, 2, 3, 5
53, 498, 3.473896, 0, 13, 2, 3, 5
54, 485, 3.628866, 0, 15, 2, 3, 5
55, 597, 2.783920, 0, 12, 1, 3, 4
56, 552, 3.086957, 0, 13, 1, 3, 5
57, 598, 2.794314, 0, 11, 1, 3, 4
58, 522, 3.316092, 0, 11, 1, 3, 5
59, 572, 2.947552, 0, 13, 1, 3, 4
60, 2, 5.000000, 4, 6, 4, 5, 6
